City,Zip Code,County,Field Office,Region
Aberdeen,83210,Bingham,Pocatello,VI
Acequia,83350,Minidoka,Burley,V
Ahsahka,83520,Clearwater,Orofino,II
Albion,83311,Cassia,Burley,V
Almo,83312,Cassia,Burley,V
American Falls,83211,Power,American Falls,VI
Ammon,83405,Bonneville,Idaho Falls,VII
Arbon,83212,Power,American Falls,VI
Arco,83213,Butte,Arco,VII
Arimo,83214,Bannock,Pocatello,VI
Ashton,83420,Fremont,St Anthony,VII
Athol,83801,Kootenai,COEUR D ALENE,I
Atlanta,83601,Elmore,Mountain Home,IV
Atomic City,83215,Bingham,Pocatello,VI
Avery,83802,Shoshone,Kellogg,I
Bancroft,83217,Caribou,Pocatello,VI
Banks,83602,Boise,Boise,IV
Basalt,83218,Bingham,Pocatello,VI
Bayview,83803,Kootenai,COEUR D ALENE,I
Bellevue,83313,Blaine,Hailey,V
Bern,83220,Bear Lake,Montpelier,VI
Blackfoot,83221,Bingham,Pocatello,VI
Blanchard,83804,Bonner,Sandpoint,I
Bliss,83314,Gooding,Jerome,V
Bloomington,83223,Bear Lake,Montpelier,VI
Boise,83701,Ada,Boise,IV
Boise,83702,Ada,Boise,IV
Boise,83703,Ada,Boise,IV
Boise,83704,Ada,Boise,IV
Boise,83705,Ada,Boise,IV
Boise,83706,Ada,Boise,IV
Boise,83709,Ada,Boise,IV
Boise,83712,Ada,Boise,IV
Boise,83713,Ada,Boise,IV
Boise,83715,Ada,Boise,IV
Boise,83716,Ada,Boise,IV
Boise,83717,Ada,Boise,IV
Boise,83719,Ada,Boise,IV
Bonners Ferry,83805,Boundary,Bonners Ferry,I
Bovill,83806,Latah,Moscow,II
Bruneau,83604,Owyhee,Homedale,III
Buhl,83316,Twin Falls,Twin Falls,V
Burke,38307,Shoshone,St Maries/Kellogg,I
Burley,83318,Cassia,Burley,V
Calder,83608,Shoshone,Kellogg,I
Caldwell,83605,Canyon,Nampa,III
Cambridge,83610,Washington,Weiser,III
Carey,83320,Blaine,Hailey,V
Careywood,83809,Kootenai,COEUR D ALENE,I
Carmen,83462,Lemhi,Salmon,VII
Cascade,83611,Valley,McCall,IV
Castleford,83321,Twin Falls,Twin Falls,V
Cataldo,83810,Kootenai,COEUR D ALENE,I
Challis,83226,Custer,Salmon,VII
Chester,83421,Fremont,St Anthony,VII
Chubbuck,83202,Pocatello,Blackfoot,VI
Clark Fork,83811,Bonner,Sandpoint,I
Clarkia,83812,Shoshone,Kellogg,I
Clayton,83227,Custer,Salmon,VII
Clearwater,83539,Idaho,Kamiah,II
Clifton,83228,Franklin,Preston,VI
Oxford,83228,Franklin,Preston,VI
Cobalt,83229,Lemhi,Salmon,VII
Coco Lalla,83813,Bonner,Sandpoint,I
COEUR D ALENE,83814,Kootenai,COEUR D ALENE,I
COEUR D ALENE,83816,Kootenai,COEUR D ALENE,I
Colburn,83865,Bonner,Sandpoint,I
Conda,83230,Caribou,Pocatello,VI
Coolin,83821,Bonner,Sandpoint,I
Corral,83322,Camas,Hailey,V
Cottonwood,83522,Idaho,Kamiah,II
Council,83612,Adams,Weiser,III
Craigmont,83523,Lewis,Kamiah,II
Culd de Sac,83524,NezPerce,Lewiston,II
Darlington,83231,Butte,Arco,VII
Dayton,83232,Franklin,Preston,VI
Deary,83823,Latah,Moscow,II
Declo,83323,Cassia,Burley,V
Desmet,83824,Benewah,St Maries,I
Dietrich,83324,Shoshone,Kellogg,I
Dingle,83233,Bear Lake,Montpelier,VI
Dixie,83525,Idaho,Kamiah,II
Donnelly,83615,Valley,McCall,IV
Dover,83825,Bonner,Sandpoint,I
Downey,83234,Bannock,Pocatello,VI
Driggs,83422,Teton,Rexburg,VII
Dubois,83423,Clark,Rigby,VII
Eagle,83616,Ada,Boise,IV
Eastport,83826,Boundary,Bonners Ferry,I
Eden,83325,Jerome,Jerome,V
Elba,83326,Cassia,Burely,V
Elk City,83525,Idaho,Kamiah,II
Elk River,83827,Clearwater,Orofino,II
Ellis,83235,Custer,Salmon,VII
Emida,83828,Benewah,St Maries,I
Emmett,83617,Gem,Emmett,III
Enaville,83829,Shoshone,Kellogg,I
Fairfield,83327,Camas,Hailey,V
Felt,83424,Teton,Rexburg,VII
Fenn,83531,Idaho,Kamiah,II
Ferdinand,83526,Idaho,Kamiah,II
Fernwood,83830,Benewah,St Maries,I
Filer,83328,Twin Falls,Twin Falls,V
Firth,83236,Bingham,Blackfoot,VI
Fish Haven,83287,Bear Lake,Montpelier,VI
Fort Hall,83203,Pocatello,Pocatello ,VI
Franklin,83237,Franklin,Preston,VI
Fruitland,83619,Payette,Payette,III
Fruitvale,83620,Adams,Weiser,III
Garden Valley,83622,Boise,Boise,IV
Garden City,83703,Ada,Boise,IV
Garden City,83714,Ada,Boise,IV
Genesee,83832,Latah,Moscow,II
Geneva,83238,Bear Lake,Montpelier,VI
Georgetown,83239,Bear Lake,Montpelier,VI
Gibbonsville,83463,Lemhi,Salmon,VII
Glenns Ferry,83623,Elmore,Mountain Home,IV
Gooding,83330,Gooding,Jerome,V
Grace,83241,Caribou,Soda Springs,VI
Grand View,83624,Owyhee,Homedale,III
Grangeville,83530,Idaho,Kamiah,II
Greencreek,83533,Idaho,Kamiah,II
Greenleaf,83626,Canyon,Nampa,III
Grouse,83255,Butte,Arco,VII
Hagerman,83332,Gooding,Jerome,V
Hailey,83333,Blaine,Hailey,V
Hamer,83425,Jefferson,Rigby,VII
Hammett,83627,Elmore,Mountain Home,IV
Hansen,83334,Twin Falls,Twin Falls,V
Harrison,83833,Kootenai,COEUR D ALENE,I
Harvard,83834,Latah,Moscow,II
Hauser Lake,83854,Kootenai,COEUR D ALENE,I
Hayden,83835,Kootenai,COEUR D ALENE,I
Hayden Lake,83835,Kootenai,COEUR D ALENE,I
Hazelton,83335,Jerome,Jerome,V
Headquarters,83534,Clearwater,Orofino,II
Heyburn,83336,Minidoka,Burley,V
Hill City,83337,Camas,Hailey,V
Holbrook,83243,Oneida,Preston,VI
Homedale,83628,Owyhee,Homedale,III
Hope,83836,Bonner,Sandpoint,I
Horseshoe Bend,83629,Boise,Boise,IV
Howe,83244,Butte,Arco,VII
Huston,83630,Canyon,Nampa,III
Idaho City,83631,Boise,Boise,IV
Idaho Falls,83401,Bonneville,Idaho Falls,VII
Idaho Falls,83402,Bonneville,Idaho Falls,VII
Idaho Falls,83403,Bonneville,Idaho Falls,VII
Idaho Falls,83404,Bonneville,Idaho Falls,VII
Idaho Falls,83405,Bonneville,Idaho Falls,VII
Idaho Falls,83406,Bonneville,Idaho Falls,VII
Idaho Falls,83415,Bonneville,Idaho Falls,VII
Indian Valley,83632,Adams,Weiser,III
Inkom,83245,Bannock,Pocatello,VI
Iona,83427,Bonneville,Idaho Falls,VII
Irwin,83428,Bonneville,Idaho Falls,VII
Island Park,83429,Fremont,St Anthony,VII
Jerome,83338,Jerome,Jerome,V
Juliaetta,83535,Latah,Moscow,II
Kamiah,83836,Lewis,Kamiah,II
Kellogg,83837,Shoshone,Kellogg,I
Kendrick,83537,Latah,Moscow,II
Ketchum,83340,Blaine,Hailey,V
Keuterville,83538,Idaho,Kamiah,II
Kimberly,83341,Twin Falls,Twin Falls,V
King Hill,83635,Elmore,Mountain Home,V
Kingston,83839,Shoshone,Kellogg,I
Kooskia,83539,Idaho,Kamiah,II
Kootenai,83840,Bonner,Sandpoint,I
Kuna,83634,Ada,Boise,VI
Laclede,83841,Bonner,Sandpoint,I
Lake Fork,83635,Valley,McCall,IV
Lapwai,83540,NezPerce,Lewiston,II
Lava Hot Springs,83246,Bannock,Pocatello,VI
Leadore,83464,Lemhi,Salmon,VII
Lemhi,83465,Lemhi,Salmon,VII
Lenore,83541,NezPerce,Lewiston,II
Leslie,83255,Custer,Salmon,VII
Letha,83636,Gem,Emmett,III
Lewiston,83501,NezPerce,Lewiston,II
Lewisville,83431,Jefferson,Rigby,VII
Lowman,83637,Boise,Boise,IV
Lucille,83542,Idaho,Kamiah,II
Mackay,83251,Custer,Salmon,VII
Macks Inn,83433,Fremont,St Anthony,VII
Malad City,83252,Onieda,Preston,VI
Malta,83342,Cassia,Burley,V
Marsing,83342,Owyhee,Homedale,III
May,83253,Lemhi,Salmon,VII
McCall,83638,Valley,McCall,IV
McCammon,83250,Bannock,Pocatello,VI
Medimont,83842,Kootenai,COEUR D ALENE,I
Melba,83641,Canyon,Nampa,III
Menan,83434,Jefferson,Rigby,VII
Meridian,83642,Ada,Boise,IV
Mesa,83643,Valley,McCall,III
Middleton,83644,Canyon,Nampa,III
Midvale,83645,Washington,Weiser,III
Minidoka,83343,Minidoka,Burley,V
Monteview,83435,Jefferson,Rigby,VII
Montour,83617,Boise,Boise,IV
Montpelier,83254,Bear Lake,Montpelier,VI
Moore,83255,Butte,Arco,VII
Moreland,83256,Bingham,Blackfoot,VI
Morgans Alley,83501,NezPerce,Lewiston,II
Moscow,83843,Latah,Moscow,II
Mountain Home,83647,Elmore,Mountain Home,IV
Mountain Home AFB,83648,Elmore,Mountain Home,IV
Moyie Springs,83845,Boundary,Bonners Ferry,I
Mullan,83846,Shoshone,Kellogg,I
Murphy,83650,Owyhee,Homedale,III
Murray,83874,Shoshone,Kellogg,I
Murtaugh,83344,Twin Falls,Twin Falls,V
Naf,83342,Cassia,Burley,V
Nampa,83651,Canyon,Nampa,III
Nampa,83652,Canyon,Nampa,III
Nampa,83653,Canyon,Nampa,III
Nampa,83686,Canyon,Nampa,III
Nampa,83687,Canyon,Nampa,III
Naples,83847,Boundary,Bonners Ferry,I
New Meadows,83654,Adams,Weiser,III
New Plymouth,83655,Payette,Payette,III
Newdale,83436,Fremont,St Anthony,VII
NezPerce,83543,Lewis,Kamiah,II
Nordman,83848,Bonner,Sandpoint,I
North Fork,83466,Lemhi,Salmon,VII
Northside,83617,Gem,Emmett,IV
Notus,83656,Canyon,Nampa,III
Oakley,83346,Cassia,Burley,V
Obsidian,83340,Ketchum,Hailey,V
Ola,83657,Gem,Emmett,III
OldTown,83822,Bonner,Sandpoint,I
Oreana,83650,Canyon,Nampa,III
Orofino,83544,Clearwater,Orofino,II
Osburn,83849,Shoshone,Kellogg,I
Ovid,83260,Bear Lake,Montpelier,VI
Page,83850,Shoshone,Kellogg,I
Palisades,83437,Bonneville,Idaho Falls,VII
Paris,83261,Bear Lake,Montpelier,VI
Parker,83438,Fremont,St Anthony,VII
Parma,83660,Canyon,Nampa,III
Patterson,83253,Lemhi,Salmon,VII
Paul,83347,Minidoka,Burley,V
Payette,83661,Payette,Payette,III
Peck,83545,NezPerce,Lewiston,II
Picabo,83348,Blaine,Hailey,V
Pierce,83546,Clearwater,Orofino,II
Pinehurst,83850,Shoshone,Kellogg,I
Pingree,83262,Bingham,Blackfoot,VI
Placerville,83666,Boise,Boise,IV
Plummer,83851,Benewah,St Maries,I
Pocatello,83201,Bannock,Pocatello,VI
Pocatello,83202,Bannock,Pocatello,VI
Pocatello,83204,Bannock,Pocatello,VI
Pocatello,83205,Bannock,Pocatello,VI
Pocatello,83206,Bannock,Pocatello,VI
Pollock,83547,Idaho,Kamiah,II
Ponderay,83852,Bonner,Sandpoint,I
Porthill,83853,Boundary,Bonners Ferry,I
Post Falls,83854,Kootenai,COEUR D ALENE,I
Potlatch,83855,Latah,Moscow,II
Preston,83263,Franklin,Preston,VI
Priest River,83856,Bonner,Sandpoint,I
Princeton,83857,Latah,Moscow,II
Rathdrum,83858,Kootenai,COEUR D ALENE,I
Reubens,83548,Lewis,Kamiah,II
Rexburg,83440,Madison,Rexburg,VII
Richfield,83349,Lincoln,Jerome,V
Rigby,83442,Jefferson,Rigby,VII
Riggins,83549,Idaho,Kamiah,II
Ririe,83443,Jefferson,Rigby,VII
Roberts,83444,Jefferson,Rigby,VII
Rockland,83271,Power,American Falls,VI
Rogerson,83302,Twin Falls,Twin Falls,V
Rupert,83350,Minidoka,Burley,V
Sagle,83860,Bonner,Sandpoint,I
St Anthony,83445,Fremont,St Anthony,VII
St Charles,83272,Bear Lake,Montpelier,VI
St Maries,83861,Benewah,St Maries,I
Salmon,83467,Lemhi,Salmon,VII
Samuels,83862,Bonner,Sandpoint,I
Sanders,83863,Benewah,St Maries,I
Sandpoint,83864,Bonner,Sandpoint,I
Santa,83866,Benewah,St Maries,I
Shelley,83274,Bingham,Blackfoot,VI
Shoshone,83352,Lincoln,Jerome,V
Shoup,83469,Lemhi,Salmon,VII
Silverton,83867,Shoshone,Kellogg,I
Smelterville,83868,Shoshone,Kellogg,I
Smiley Creek,83340,Blaine,Hailey,V
Smiths Ferry,83611,Valley,McCall,IV
Soda Springs,83501,Caribou,Soda Springs,VI
