LAUS Code,State FIPS Code,County FIPS Code,County/State,County FIPS Year,County Labor Force,County Labor Employed,County Labor Unemployed,Unemployment Rate (%)
CN1600100000000,16,1.0,"Ada County, ID",2000.0,169932.0,164171.0,5761.0,3.4
CN1600300000000,16,3.0,"Adams County, ID",2000.0,1920.0,1728.0,192.0,10.0
CN1600500000000,16,5.0,"Bannock County, ID",2000.0,38180.0,36401.0,1779.0,4.7
CN1600700000000,16,7.0,"Bear Lake County, ID",2000.0,2947.0,2802.0,145.0,4.9
CN1600900000000,16,9.0,"Benewah County, ID",2000.0,4003.0,3560.0,443.0,11.1
CN1601100000000,16,11.0,"Bingham County, ID",2000.0,19688.0,18819.0,869.0,4.4
CN1601300000000,16,13.0,"Blaine County, ID",2000.0,11800.0,11380.0,420.0,3.6
CN1601500000000,16,15.0,"Boise County, ID",2000.0,3418.0,3250.0,168.0,4.9
CN1601700000000,16,17.0,"Bonner County, ID",2000.0,17617.0,16256.0,1361.0,7.7
CN1601900000000,16,19.0,"Bonneville County, ID",2000.0,41423.0,40005.0,1418.0,3.4
CN1602100000000,16,21.0,"Boundary County, ID",2000.0,4195.0,3870.0,325.0,7.7
CN1602300000000,16,23.0,"Butte County, ID",2000.0,1443.0,1380.0,63.0,4.4
CN1602500000000,16,25.0,"Camas County, ID",2000.0,535.0,515.0,20.0,3.7
CN1602700000000,16,27.0,"Canyon County, ID",2000.0,65786.0,62838.0,2948.0,4.5
CN1602900000000,16,29.0,"Caribou County, ID",2000.0,3259.0,3092.0,167.0,5.1
CN1603100000000,16,31.0,"Cassia County, ID",2000.0,10262.0,9753.0,509.0,5.0
CN1603300000000,16,33.0,"Clark County, ID",2000.0,529.0,501.0,28.0,5.3
CN1603500000000,16,35.0,"Clearwater County, ID",2000.0,3691.0,3202.0,489.0,13.2
CN1603700000000,16,37.0,"Custer County, ID",2000.0,2591.0,2446.0,145.0,5.6
CN1603900000000,16,39.0,"Elmore County, ID",2000.0,10598.0,9990.0,608.0,5.7
CN1604100000000,16,41.0,"Franklin County, ID",2000.0,5205.0,5036.0,169.0,3.2
CN1604300000000,16,43.0,"Fremont County, ID",2000.0,5625.0,5353.0,272.0,4.8
CN1604500000000,16,45.0,"Gem County, ID",2000.0,7012.0,6652.0,360.0,5.1
CN1604700000000,16,47.0,"Gooding County, ID",2000.0,7075.0,6803.0,272.0,3.8
CN1604900000000,16,49.0,"Idaho County, ID",2000.0,6953.0,6366.0,587.0,8.4
CN1605100000000,16,51.0,"Jefferson County, ID",2000.0,8989.0,8650.0,339.0,3.8
CN1605300000000,16,53.0,"Jerome County, ID",2000.0,9136.0,8737.0,399.0,4.4
CN1605500000000,16,55.0,"Kootenai County, ID",2000.0,56292.0,52720.0,3572.0,6.3
CN1605700000000,16,57.0,"Latah County, ID",2000.0,17577.0,16826.0,751.0,4.3
CN1605900000000,16,59.0,"Lemhi County, ID",2000.0,3808.0,3502.0,306.0,8.0
CN1606100000000,16,61.0,"Lewis County, ID",2000.0,1745.0,1631.0,114.0,6.5
CN1606300000000,16,63.0,"Lincoln County, ID",2000.0,2157.0,2062.0,95.0,4.4
