postalcode,latitude,longitude,Name
80452,39.7402,-105.5983,
83616,43.7069,-116.36200000000001,EAGLE CITY
83634,43.486999999999995,-116.3819,KUNA CITY
83642,43.615,-116.3975,MERIDIAN CITY
83669,43.7013,-116.4967,STAR CITY
83680,43.6121,-116.3915,
83701,43.6038,-116.2729,BOISE CITY
83702,43.6322,-116.2052,
83703,43.6601,-116.2524,GARDEN CITY
83704,43.633,-116.2951,
83705,43.5851,-116.2191,
83706,43.5885,-116.191,
83707,43.6135,-116.2035,
83708,43.4599,-116.244,
83709,43.5741,-116.2941,
83711,43.4599,-116.244,
83712,43.6023,-116.1649,
83713,43.63399999999999,-116.3419,
83714,43.7318,-116.2797,
83715,43.4599,-116.244,
83716,43.5345,-115.9711,
83717,43.4599,-116.244,
83719,43.4599,-116.244,
83720,43.4599,-116.244,
83722,43.4599,-116.244,
83724,43.6195,-116.1952,
83725,43.4599,-116.244,
83726,43.4599,-116.244,
83728,43.6135,-116.2035,
83729,43.4599,-116.244,
83731,43.4599,-116.244,
83732,43.4599,-116.244,
83735,43.6135,-116.2035,
83756,43.4599,-116.244,
83799,43.6135,-116.2035,
83612,44.7628,-116.4518,COUNCIL CITY
83632,44.5491,-116.443,
83643,44.6255,-116.4493,
83654,44.994,-116.2874,NEW MEADOWS CITY
83201,42.8876,-112.4381,POCATELLO CITY
83202,42.9357,-112.4679,CHUBBUCK CITY
83204,42.8465,-112.4434,
83205,42.8062,-112.4103,
83206,42.8713,-112.4455,
83209,42.6395,-112.3138,
83214,42.56,-112.1746,ARIMO CITY
83234,42.4181,-112.109,DOWNEY CITY
83245,42.7964,-112.2465,INKOM CITY
83246,42.6185,-112.0176,LAVA HOT SPRINGS CITY
83250,42.6336,-112.1758,MCCAMMON CITY
83281,42.3195,-111.9781,
83220,42.3191,-111.3926,
83223,42.184,-111.4086,BLOOMINGTON CITY
83233,42.1774,-111.2174,
83238,42.3136,-111.0722,
83239,42.4821,-111.3708,GEORGETOWN CITY
83254,42.352,-111.3195,MONTPELIER CITY
83261,42.2242,-111.4208,PARIS CITY
83272,42.1128,-111.3897,ST CHARLES CITY
83287,42.0459,-111.4633,
83824,47.126000000000005,-116.8937,
83830,47.11600000000001,-116.3831,
83851,47.3278,-116.8662,PLUMMER CITY
83861,47.2977,-116.5681,PARKLINE CITY
83861,47.2977,-116.5681,ST MARIES CITY
83866,47.1544,-116.431,
83870,47.1707,-116.9027,TENSED CITY
83203,43.0331,-112.4285,
83210,43.0049,-112.84,ABERDEEN CITY
83215,43.4449,-112.8128,ATOMIC CITY
83218,43.3155,-112.1644,BASALT CITY
83221,43.1943,-112.3615,BLACKFOOT CITY
83236,43.3021,-112.1588,FIRTH CITY
83256,43.2226,-112.4423,
83262,43.1336,-112.6295,
83274,43.3769,-112.1075,SHELLEY CITY
83277,43.0803,-112.67299999999999,
83313,43.4397,-114.2498,BELLEVUE CITY
83320,43.2744,-113.8926,CAREY CITY
83333,43.5239,-114.3064,HAILEY CITY
83340,43.6692,-114.4858,KETCHUM CITY
83348,43.3101,-114.0861,
83353,43.6853,-114.3313,SUN VALLEY CITY
83354,43.5946,-114.3226,
83602,44.0804,-116.124,
83622,44.0909,-115.8243,CROUCH CITY
83629,43.9229,-116.1809,HORSESHOE BEND CITY
83631,43.8834,-115.708,IDAHO CITY
83637,44.1106,-115.5285,
83646,43.6498,-116.4306,
83666,43.9633,-115.9759,PLACERVILLE CITY
83804,48.0223,-116.9909,
83809,48.0482,-116.5939,
83811,48.1405,-116.1699,CLARK FORK CITY
83813,48.1248,-116.6571,
